chr	start	end	gene	ID	ratio	predLargeSeg	segMean	predLargeCorrected	pvalRatioCorrected	perGeneEvaluation	pvalRatioGene	predPoint	predPointSusp	comments
chr1	115252190	115252305	NRAS	Hotspot_1.17678	-0.183273364183655	2	-0.129611787762232	2	0.558058212469052	2	0.558058212469052	NA	NA	SegRatio=-0.13,AbsMeanSigma=0.62,pvalue=0.279175245809961,pvalueTTest=0.558058212469052,
chr1	115256462	115256578	NRAS	AMPL7153071870	-0.129611787762232	2	-0.129611787762232	2	0.558058212469052	2	0.558058212469052	NA	NA	SegRatio=-0.13,AbsMeanSigma=0.62,pvalue=0.279175245809961,pvalueTTest=0.558058212469052,
chr1	115258698	115258821	NRAS	AMPL7153669586	0.0781542484799135	2	-0.129611787762232	2	0.558058212469052	2	0.558058212469052	NA	NA	SegRatio=-0.13,AbsMeanSigma=0.62,pvalue=0.279175245809961,pvalueTTest=0.558058212469052,
chr2	29432581	29432710	ALK	AMPL7153129486	-0.071344615208323	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29432651	29432782	ALK	AMPL7158540212	-0.0939181769724858	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29436752	29436860	ALK	AMPL7153049870	-0.131288650360655	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29436860	29436982	ALK	AMPL7153049880	-0.185387029076105	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29443563	29443694	ALK	AMPL7153154662	-0.0297844061963454	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29443686	29443816	ALK	AMPL7158630699	-0.0427342371792303	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29445095	29445222	ALK	AMPL7156051274	-0.236091753244907	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	29445209	29445319	ALK	AMPL7153153034	-0.00468384336154712	2	-0.071344615208323	2	0.013226495050382	2	0.013226495050382	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	212566741	212566867	ERBB4	AMPL7158742374	-0.184425321208024	2	-0.071344615208323	2	0.0361404082162369	2	0.0361404082162369	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr2	212570032	212570115	ERBB4	AMPL7154491799	NA	2	-0.071344615208323	2	0.0361404082162369	2	0.0361404082162369	NA	NA	SegRatio=-0.07,AbsMeanSigma=0.96,pvalue=0.00233901769672848,pvalueTTest=0.00620644763718037,
chr3	178936019	178936114	PIK3CA	AMPL7153077772	-0.212583953510121	2	-0.212583953510121	2	0.357048940893968	2	0.357048940893968	NA	NA	SegRatio=-0.21,AbsMeanSigma=1.06,pvalue=0.0668261703886205,pvalueTTest=0.357048940893968,Adjusted:byPvalueMeanRatio;
chr3	178951936	178952058	PIK3CA	AMPL7153120664	0.041550243329411	2	-0.212583953510121	2	0.357048940893968	2	0.357048940893968	NA	NA	SegRatio=-0.21,AbsMeanSigma=1.06,pvalue=0.0668261703886205,pvalueTTest=0.357048940893968,Adjusted:byPvalueMeanRatio;
chr3	178952058	178952160	PIK3CA	AMPL7153011260	-0.0791210756829892	2	-0.212583953510121	2	0.357048940893968	2	0.357048940893968	NA	NA	SegRatio=-0.21,AbsMeanSigma=1.06,pvalue=0.0668261703886205,pvalueTTest=0.357048940893968,Adjusted:byPvalueMeanRatio;
