chr	start	end	ID	gene	mean	CALENDRIN-AO057F_IonXpress_023	LEMAITRE-AO025F_IonXpress_009	BLANC-AO071F_IonXpress_034	ALMEIDADAFONSECA-AO050F_IonXpress_018
chr1	115252190	115252305	Hotspot_1.17678	NRAS	1.06359574708459	0.92803593018751	1.04161679709552	1.03009228018824	1.25463798086708
chr1	115256462	115256578	AMPL7153071870	NRAS	0.764255133978972	0.782131890652421	0.630649513625265	0.87346558538554	0.770773546252661
chr1	115258698	115258821	AMPL7153669586	NRAS	1.2460338138704	1.25565211056703	1.21795797017355	1.19556547237996	1.31495970236105
chr2	29432581	29432710	AMPL7153129486	ALK	0.717920818785874	0.822619660525285	0.780085663698015	0.754005888064368	0.514972062855826
chr2	29432651	29432782	AMPL7158540212	ALK	0.345822556654808	0.330348412419598	0.362180835165541	0.339161295201051	0.351599683833044
chr2	29436752	29436860	AMPL7153049870	ALK	1.1620023646085	1.04213284085693	1.25095411105674	1.26157800279546	1.09334450372486
chr2	29436860	29436982	AMPL7153049880	ALK	0.934762399946557	0.847183424001803	1.01887665153943	0.962739346096415	0.910250178148583
chr2	29443563	29443694	AMPL7153154662	ALK	0.83950969371913	0.725995265893342	0.914396424931184	0.815478423971081	0.902168660080914
chr2	29443686	29443816	AMPL7158630699	ALK	0.936731975394896	0.911884225890002	0.959572805411362	0.87138884975252	1.0040820205257
chr2	29445095	29445222	AMPL7156051274	ALK	0.860404845402931	0.795267320928184	0.811892260911732	0.973548613980062	0.860911185791748
chr2	29445209	29445319	AMPL7153153034	ALK	1.37676624832415	1.29995313793069	1.33009715600965	1.32340486780715	1.55360983154909
chr2	212566741	212566867	AMPL7158742374	ERBB4	1.0612478017542	1.04240012293973	0.822648555687388	1.15018514044007	1.22975738794961
chr2	212570032	212570115	AMPL7154491799	ERBB4	1.78232862930895	1.80235715047385	1.87571508861716	1.46289936758488	1.98834291055992
chr3	178936019	178936114	AMPL7153077772	PIK3CA	1.64782816204659	1.61935804037835	1.55334001787326	1.70778456978577	1.71083002014898
chr3	178951936	178952058	AMPL7153120664	PIK3CA	0.918574146625073	0.870647285533296	0.855466653054824	0.970745998924334	0.977436648987839
chr3	178952058	178952160	AMPL7153011260	PIK3CA	1.93471131733497	2.11607224956766	2.01611049838929	2.00382781009122	1.60283471129172
chr4	1803553	1803683	AMPL7153129889	FGFR3	0.287137748224128	0.34428810687722	0.266997932788024	0.255246119825601	0.282018833405668
chr4	1806068	1806205	AMPL7153021994	FGFR3	0.226942621724593	0.300639667124775	0.221376362487763	0.216277030889426	0.169477426396406
chr4	1807830	1807934	AMPL7153021957	FGFR3	0.497049962480619	0.550822112300744	0.515316460297825	0.428066641634371	0.493994635689535
chr4	55141001	55141132	AMPL7154338435	PDGFRA	0.748942796613837	0.852478860376176	0.603548306560759	0.773450442020784	0.766293577497631
chr4	55141127	55141247	AMPL7158562435	PDGFRA	1.05625588409031	1.0597200019055	0.873120686110869	1.13640688094522	1.15577596739966
chr4	55144027	55144139	AMPL7158536940	PDGFRA	1.41477143588885	1.42016993672434	1.44340858968085	1.38355220822697	1.41195500892322
chr4	55144087	55144214	AMPL7158630701	PDGFRA	0.886929103923648	0.867925955784576	0.869922768361615	0.982172338834566	0.827695352713835
chr4	55151983	55152113	AMPL7153402697	PDGFRA	1.02931428346934	1.03053279846319	0.954086546518457	1.10454855242996	1.02808923646575
chr4	55152079	55152200	AMPL7158562436	PDGFRA	1.12757842384355	1.11135890030344	1.04189259793784	1.16322047883896	1.19384171829398
chr4	55589743	55589879	AMPL7153048367.AMPL7161178196	KIT	1.54901416547075	1.43203844038654	1.41693777471439	1.63454889794914	1.71253154883292
chr4	55592006	55592112	AMPL7158630707	KIT	1.35910524547104	1.34265372003497	1.3799691000567	1.33257437677789	1.38122378501459
chr4	55592041	55592155	AMPL7158630703	KIT	1.34502121108414	1.44518015424892	1.31590004966364	1.35486527475858	1.2641393656654
chr4	55592150	55592251	AMPL7158630708	KIT	1.12407452996416	1.43446324305593	1.17221254365229	1.09843685733058	0.791185475817844
chr4	55593498	55593600	AMPL7153001777	KIT	1.34562105179624	1.38110941175558	1.28891226081997	1.35407104444397	1.35839149016542
chr4	55593600	55593725	AMPL7153001778	KIT	0.926034569917737	1.01733120182928	0.758315929185743	1.04145881569377	0.887032332962157
chr4	55594135	55594243	AMPL7153547213	KIT	0.617759080279203	0.571270904982015	0.623590246914408	0.601051609848024	0.675123559372367
chr4	55594243	55594350	AMPL7153171489	KIT	0.957895117830831	1.02543395559009	0.926193791025559	0.896586389539717	0.983366335167959
chr4	55599230	55599356	AMPL7158630710	KIT	1.15847625614242	1.06939561330305	1.07655908630912	1.15394391540883	1.3340064095487
chr4	55599340	55599456	AMPL7155741653	KIT	0.792447550666663	0.843390179044277	0.81861468899547	0.740263997430164	0.767521337196742
chr4	55602600	55602724	AMPL7158562441	KIT	0.986302012482194	1.01765928627492	0.870153527403429	0.945540304464596	1.11185493178583
chr4	55602664	55602784	AMPL7158562437	KIT	1.00264059394584	1.04512640018435	0.962838435704757	1.00172527534589	1.00087226454837
chr7	55241600	55241688	AMPL7154370557	EGFR	1.90705638806189	1.82126618682647	2.13115032946997	1.90215904012033	1.7736499958308
chr7	55241677	55241801	AMPL7153032956	EGFR	0.718110423058986	0.636071003057345	0.719239270683476	0.770086599899719	0.747044818595403
chr7	55242411	55242540	CHP2_EGFR_5	EGFR	1.14763111255751	1.04661447764071	1.15156756429805	1.21590906903624	1.17643333925505
chr7	55248956	55249084	AMPL7153072051	EGFR	0.888888488954628	0.839044397033066	0.936623588524524	0.875060431984623	0.904825538276297
chr7	55249004	55249139	AMPL7153033044	EGFR	0.735602376137374	0.80077712008396	0.686295186518408	0.799648051478611	0.655689146468515
chr7	55249118	55249244	AMPL7158526937	EGFR	1.23638043102003	1.19234537139337	1.30243703180913	1.3010059860615	1.1497333348161
chr7	55259364	55259492	AMPL7154370552	EGFR	0.999063510784758	1.01769323541044	1.10006838470897	1.07601907770202	0.802473345317593
chr7	55259481	55259578	AMPL7154370553	EGFR	1.53235180151755	1.55958268671136	1.59378918137714	1.564241328429	1.4117940095527
chr7	116339602	116339701	AMPL7153153148	MET	1.54437001339685	1.68047534970891	1.60687482687228	1.34576957887126	1.54436029813496
chr7	116339874	116339993	AMPL7154267578	MET	1.16677816522343	1.16795981195628	1.15643926947836	1.10690395219687	1.23580962726223
chr7	116340198	116340323	AMPL7153153138	MET	0.848439559908679	0.829545225220435	0.905849268328652	0.826205049557879	0.832158696527752
chr7	116411807	116411926	AMPL7160517820	MET	1.01783439075199	0.954008365908555	1.13189490196229	0.964623264408867	1.02081103072827
chr7	116411897	116412016	AMPL7156899873	MET	1.02208613037905	1.017684391518	1.1687114532364	0.942236442903762	0.959712233858029
chr7	116411963	116412087	AMPL7160130873	MET	0.973405203184873	1.06111417973742	1.06625989366747	0.901378487669355	0.864868251665244
chr7	116414910	116415021	AMPL7158527795	MET	0.95531367537406	0.879256918667587	1.00786176882008	0.802676235727091	1.13145977828148
chr7	116415000	116415125	AMPL7154099216	MET	1.1969721433659	1.1100117986061	1.27427506552531	1.07319039398003	1.33041131535215
chr7	116415070	116415179	AMPL7158527377	MET	1.06547734905842	1.04709349822862	1.15659637018787	1.07213021253379	0.986089315283402
chr7	116417424	116417542	AMPL7158630711	MET	0.760648562785417	0.684966964747883	0.930228626490233	0.694103189967091	0.733295469936461
chr7	116418725	116418850	AMPL7158526957	MET	1.40557109216301	1.31827372101448	1.58971927684191	1.29910028715234	1.41519108364331
chr7	116418836	116418960	AMPL7154089705	MET	1.1509411295034	1.06328692441055	1.20046676443476	1.12194885912234	1.21806197004597
chr7	116418890	116419015	AMPL7156051190	MET	1.41224988222637	1.3247398091617	1.54516040461459	1.30738838595846	1.47171092917074
chr7	116419013	116419132	AMPL7158526958	MET	0.970323948005825	0.928537955664779	1.06796538657158	0.914128544791796	0.970663904995147
chr7	116421939	116422056	AMPL7158527378	MET	0.839523858779538	0.815169232235002	1.01655442555301	0.688903939226	0.83746783810414
chr7	116422040	116422161	AMPL7153359870	MET	0.967549881045798	0.926549907114989	1.07136423661873	0.872598832390865	0.999686548058608
chr7	116423279	116423379	AMPL7158526959	MET	1.47871157184666	1.46261566788419	1.79526066001247	1.27518320202613	1.38178675746386
chr7	116423375	116423495	AMPL7158482828	MET	0.976196673828773	0.92332595505008	1.08708478293415	0.891217291264395	1.00315866606647
chr7	116423417	116423532	AMPL7158527796	MET	0.758266002018928	0.804161143671475	0.864716184263026	0.670512341301941	0.693674338839272
chr7	116435688	116435812	AMPL7158526960	MET	1.12142234909291	1.02770823038813	1.22621257229624	1.02145088684777	1.2103177068395
chr7	116435803	116435917	AMPL7158527379	MET	0.556940693155663	0.588175324429599	0.613113493821093	0.555655747026325	0.470818207345635
chr7	140453100	140453223	AMPL7153120640	BRAF	0.940641895390774	0.905734230648874	1.01418263986567	0.802338020312961	1.04031269073559
chr7	140481361	140481459	AMPL7153002468	BRAF	1.13178175965409	0.993143853394231	1.14536984127136	1.07346585848845	1.31514748546233
chr7	140481391	140481512	AMPL7153002469	BRAF	0.940283969635845	0.969690560645426	1.15781437674935	0.831500821782044	0.802130119366561
chr10	123247455	123247583	AMPL7158630712	FGFR2	0.791593025124731	0.843254089837246	0.808998674620758	0.717808557315082	0.796310778725838
chr10	123257970	123258092	AMPL7153153163	FGFR2	1.03918435303591	0.951804641889285	0.983243806895424	0.979723155125334	1.24196580823361
chr10	123279640	123279768	AMPL7154699043	FGFR2	1.08156116164674	1.10083466829299	0.943522232519322	1.01427459161854	1.2676131541561
chr11	533380	533516	AMPL7152996928	HRAS	0.269077758528733	0.268925081490538	0.241733480071119	0.2907799371052	0.274872535448077
chr11	533482	533599	AMPL7153380529	HRAS	0.636006483081821	0.687079434090731	0.636870476774217	0.631474194751412	0.588601826710926
chr11	533557	533668	AMPL7158527827	HRAS	0.602762212953859	0.603161750970035	0.609184208172672	0.637607601203812	0.561095291468916
chr11	533807	533935	AMPL7153120637	HRAS	0.552184132336783	0.655133442650465	0.48847706132398	0.589000771740178	0.476125253632508
chr11	534218	534348	AMPL7153071863	HRAS	0.411815370481055	0.488324365284845	0.369930599635853	0.477704156462186	0.311302360541336
chr12	25378549	25378658	CHP2_KRAS_3	KRAS	1.12167146794061	1.44998813431305	0.672396273401248	1.33038650233106	1.03391496171706
chr12	25380256	25380364	AMPL7153120649	KRAS	1.85845036402829	2.22334145880009	1.29560858158717	2.10573621452912	1.80911520119679
chr12	25398186	25398304	CHP2_KRAS_1	KRAS	1.27861168597593	1.56914515507661	0.808769319442313	1.42834245163448	1.3081898177503
chr15	66727413	66727527	AMPL7153154795	MAP2K1	0.858579040758731	0.908998228663925	0.973891161953913	0.90281076280866	0.648616009608428
chr15	66729054	66729179	AMPL7153479447	MAP2K1	1.26264935865075	1.22370718186139	1.3902911535806	1.09521305652198	1.34138604263903
chr15	66729097	66729224	AMPL7153397966	MAP2K1	0.712672586236563	0.714653361087514	0.705993270358027	0.659598414547181	0.770445298953531
chr17	37880970	37881096	AMPL7161740708	ERBB2	0.911867274333552	0.775118040134675	0.734238094918888	1.36373054335266	0.774382418927987
chr17	37881095	37881180	AMPL7154858134	ERBB2	1.68246772428798	1.27419972312865	1.67575242217896	2.43349724609717	1.34642150574713
