gene	chr	start	end	copy.number	p.value	q.value	comments
NRAS	chr1	115252190	115258821	2	0.238814132456616	1	p-value_correction=0.238814132456616
ALK	chr2	29432581	29445319	2	0.802706695421569	1	p-value_correction=0.669522813595419
ERBB4	chr2	212566741	212570115	2	0.802706695421569	1	p-value_correction=0.3346415384014
PIK3CA	chr3	178936019	178952160	2	0.0721292735976034	0.793422009573638	p-value_correction=0.0721292735976034
FGFR3	chr4	1803553	1807934	2	0.764293324564281	1	p-value_correction=0.871898059151994
PDGFRA	chr4	55141001	55152200	3	1.19075450037358e-07	1.4289054004483e-06	p-value_correction=0.390728136682492
KIT	chr4	55589743	55602784	3	1.19075450037358e-07	1.4289054004483e-06	p-value_correction=0.426458874961295
EGFR	chr7	55241600	55259578	2	0.109970645859121	1	p-value_correction=0.0108627620087143
MET	chr7	116339602	116435917	2	0.910568429204243	1	p-value_correction=0.0628221907567793
BRAF	chr7	140453100	140481512	2	0.910568429204243	1	p-value_correction=0.999431545788734
FGFR2	chr10	123247455	123279768	2	0.213237381288617	1	p-value_correction=0.213237381288617
HRAS	chr11	533380	534348	2	0.700165025527171	1	p-value_correction=0.700165025527171
KRAS	chr12	25378549	25398304	2	0.150707094582223	1	p-value_correction=0.150707094582223
MAP2K1	chr15	66727413	66729224	2	0.279076140761019	1	p-value_correction=0.279076140761019
ERBB2	chr17	37880970	37881180	2	0.434206249874987	1	p-value_correction=0.434206249874987
